lada,ciudad,estado
449,Aguascalientes,Aguascalientes
449,Buenavista de Peñuelas,Aguascalientes
449,Comunidad El Rocio,Aguascalientes
449,El Refugio de Peñuelas,Aguascalientes
449,El Salto de los Salado,Aguascalientes
449,El Vergel (Paraíso),Aguascalientes
449,General Ignacio Zaragoza (Venadero),Aguascalientes
449,General José María Morelos y Pavón (Cañada Honda),Aguascalientes
449,Jaltomate,Aguascalientes
449,Jesús María,Aguascalientes
449,Los Caños (Aguascalientes),Aguascalientes
449,Los Negritos,Aguascalientes
449,Norias de Ojocaliente,Aguascalientes
449,Peñuelas (El Cienegal),Aguascalientes
449,San Ignacio,Aguascalientes
449,Valladolid,Aguascalientes
449,Villa Lic. Jesús Terán (Calvill),Aguascalientes
458,Cosío,Aguascalientes
458,La Punta,Aguascalientes
465,Carboneras,Aguascalientes
465,Colonia Macario J. Gómez,Aguascalientes
465,El Chayote,Aguascalientes
465,Emiliano Zapata,Aguascalientes
465,Escaleras,Aguascalientes
465,Fraccionamiento Campestre San C,Aguascalientes
465,Mesillas,Aguascalientes
465,Pabellón de Arteaga,Aguascalientes
465,Pabellón de Hidalgo,Aguascalientes
465,Paredes,Aguascalientes
465,Rincón de Romos,Aguascalientes
465,San Antonio,Aguascalientes
465,San Francisco de los Romo,Aguascalientes
465,San Jacinto,Aguascalientes
465,San José de Gracia,Aguascalientes
465,Tepezala,Aguascalientes
495,Calvillo,Aguascalientes
495,Chiquihuitero (San Isidro),Aguascalientes
495,El Salitre,Aguascalientes
495,Jaltiche de Abajo,Aguascalientes
495,La Labor,Aguascalientes
495,La Panadera,Aguascalientes
495,Malpaso,Aguascalientes
495,San Tadeo,Aguascalientes
496,Amarillas de Esparza,Aguascalientes
496,Asientos,Aguascalientes
496,Ciénaga Grande,Aguascalientes
496,Palo Alto,Aguascalientes
496,Pilotos,Aguascalientes
496,Pino Suárez (Rancho Viejo),Aguascalientes
496,Villa Juárez,Aguascalientes
615,Villa Alberto A. Alvarado A. (El Fundo Legal),Baja California
